word,shosai_wadaipot.txt,youkyu_wadaipot.txt,youkyu_wadaipot.txt-shosai_wadaipot.txt
高価,0,1,1
テストスコープ,0,1,1
ASTER,0,1,1
HAYST,0,1,1
営業,0,1,1
屋外,0,1,1
矛盾,0,1,1
浄化,0,1,1
色弱,0,1,1
解説,0,1,1
導出,0,1,1
男性,0,1,1
存在,0,1,1
レトルト,0,1,1
含有,0,1,1
海上,0,1,1
概要,0,1,1
運送,0,1,1
眼鏡,0,1,1
メン,0,1,1
レベル,0,1,1
様々,0,1,1
アルコール,0,1,1
地域,0,1,1
熱燗,0,1,1
逸脱,0,1,1
お絞り,0,1,1
配布,0,1,1
加湿,0,1,1
横断,0,1,1
09,0,1,1
足場,0,1,1
（⇒,0,1,1
使い方,0,1,1
水槽,0,1,1
資料,0,1,1
部品,0,1,1
モノ,0,1,1
国内,0,1,1
海底,0,1,1
以降,1,2,1
全体,2,3,1
特徴,0,1,1
貯蔵,1,2,1
適用,0,1,1
中身,0,1,1
放置,0,1,1
ポンプ,4,5,1
ポットユーザシーン,0,1,1
ページ,0,1,1
智美,0,1,1
修正,0,1,1
鈴木,0,1,1
ユニバーサル,0,1,1
関心,0,1,1
初心者,1,2,1
つまり,0,1,1
問題,0,1,1
順序,0,1,1
マニュアル,0,1,1
外国,0,1,1
言及,0,1,1
三紀,0,1,1
そば,0,1,1
抗菌,0,1,1
車いす,0,1,1
実現,0,1,1
松葉杖,0,1,1
山の上,0,1,1
お盆,0,1,1
ロッククレーマー,0,1,1
冗長,0,1,1
たたき台,0,1,1
同一,0,1,1
コンシューマ,0,1,1
度数,0,1,1
線引き,0,1,1
着目,0,1,1
わけ,0,1,1
合否,0,1,1
程度,3,4,1
浩一,1,2,1
例外,0,1,1
味噌汁,0,1,1
故意,0,1,1
作用,0,1,1
ロックランプカルキ,0,1,1
早期,0,1,1
きれい,0,1,1
クレーマー,0,1,1
過程,0,1,1
提示,0,1,1
併記,0,1,1
工数,0,1,1
野外,0,1,1
材質,0,1,1
未定義,0,1,1
重要,0,1,1
短気,0,1,1
オンライン,0,1,1
テストスコープテスト,1,2,1
小道具,0,1,1
ミネラル,0,1,1
スープ,0,1,1
拡張,0,1,1
インスタント,0,1,1
カレー,0,1,1
スペック,0,1,1
お客,0,1,1
ラーメン,0,1,1
カップ,0,1,1
持ち運び,0,1,1
気長,0,1,1
明示,0,1,1
それ,2,3,1
ドラマ,0,1,1
明確,0,1,1
風邪,0,1,1
火災,0,1,1
熱源,0,1,1
丈夫,0,1,1
飛行機,0,1,1
関連,2,3,1
サイズ,0,1,1
有線,0,1,1
